Instance;Optimal;Values_taloulen_1;Times_taloulen_1;Gaps_taloulen_1;Values_taloulen_2;Times_taloulen_2;Gaps_taloulen_2;Values_taloulen_3;Times_taloulen_3;Gaps_taloulen_3;Values_taloulen_4;Times_taloulen_4;Gaps_taloulen_4;Values_taloulen_5;Times_taloulen_5;Gaps_taloulen_5
gap1_1;336;311.0;1.027152719;7.44;320.0;0.003633759;4.76;318.0;0.00238528;5.36;318.0;0.003304687;5.36;318.0;0.006309438;5.36
gap1_2;327;293.0;0.000211179;10.4;293.0;0.000198407;10.4;293.0;0.000188214;10.4;293.0;0.000187255;10.4;293.0;0.000207717;10.4
gap1_3;339;318.0;0.075026003;6.19;318.0;0.076624773;6.19;318.0;0.07633272;6.19;304.0;0.001497004;10.32;303.0;0.000800823;10.62
gap1_4;341;323.0;0.090841341;5.28;326.0;0.001070899;4.4;323.0;0.000445204;5.28;323.0;0.000460639;5.28;323.0;0.000418283;5.28
gap1_5;326;320.0;0.082760141;1.84;321.0;0.005814946;1.53;318.0;0.004168147;2.45;320.0;0.00321425;1.84;319.0;0.002119359;2.15
gap2_1;434;428.0;0.151131823;1.38;428.0;0.006840388;1.38;429.0;0.0084838;1.15;428.0;0.007845438;1.38;428.0;0.011197164;1.38
gap2_2;436;429.0;0.144498628;1.61;425.0;0.157626705;2.52;432.0;0.008326623;0.92;425.0;0.00362533;2.52;415.0;0.00284096;4.82
gap2_3;420;400.0;0.003464815;4.76;400.0;0.0075744;4.76;401.0;0.010681956;4.52;407.0;0.010062506;3.1;392.0;0.009423851;6.67
gap2_4;419;412.0;0.002376207;1.67;412.0;0.00248964;1.67;412.0;0.00258374;1.67;412.0;0.003010345;1.67;412.0;0.007059942;1.67
gap2_5;428;424.0;0.186747355;0.93;424.0;0.161371949;0.93;428.0;0.006550761;0.0;428.0;0.010851201;0.0;424.0;0.004450655;0.93
gap3_1;580;571.0;0.266909243;1.55;571.0;0.24860657;1.55;573.0;0.010645728;1.21;571.0;0.256413448;1.55;571.0;0.013427;1.55
gap3_2;564;548.0;0.00696526;2.84;542.0;0.292671935;3.9;548.0;0.249772303;2.84;553.0;0.02345213;1.95;553.0;0.008949467;1.95
gap3_3;573;572.0;0.275491398;0.17;572.0;0.26160787;0.17;572.0;0.275402915;0.17;572.0;0.262018455;0.17;572.0;0.02298705;0.17
gap3_4;570;570.0;0.008699598;0.0;570.0;0.007402167;0.0;570.0;0.012641979;0.0;568.0;0.013915252;0.35;568.0;0.010284721;0.35
gap3_5;564;556.0;0.247398534;1.42;560.0;0.006042428;0.71;560.0;0.010310889;0.71;560.0;0.006085006;0.71;558.0;0.029548674;1.06
gap4_1;656;641.0;0.470181494;2.29;641.0;0.44545413;2.29;653.0;0.368153572;0.46;656.0;0.019215795;0.0;653.0;0.02594422;0.46
gap4_2;644;619.0;0.007077546;3.88;619.0;0.006782281;3.88;619.0;0.006912855;3.88;619.0;0.006364877;3.88;619.0;0.006903455;3.88
gap4_3;673;652.0;0.346953059;3.12;652.0;0.291597261;3.12;644.0;0.368394255;4.31;647.0;0.363503571;3.86;648.0;0.018002599;3.71
